PointID, X, Y, Z, Rx, Ry, Rz
1, 0.392989, -0.237998, 0.405290, 0.270364, -1.570779, 2.871238
2, 0.392990, -0.187997, 0.405294, 0.125479, -1.570773, 3.016102
3, 0.392990, -0.138001, 0.405291, -0.035903, -1.570779, -3.105712
4, 0.392989, -0.238000, 0.455292, 0.270364, -1.570780, 2.871233
5, 0.392990, -0.188000, 0.455293, 0.125472, -1.570771, 3.016098
6, 0.392990, -0.138001, 0.455289, -0.035903, -1.570786, -3.105712
7, 0.392993, -0.238000, 0.505290, 0.270358, -1.570789, 2.871238
8, 0.392990, -0.187999, 0.505291, 0.125486, -1.570779, 3.016098
9, 0.392991, -0.138001, 0.505292, -0.035910, -1.570777, -3.105712
